gr_bin,ri_bin,class,count
1.5,1.2,STAR,100
-0.05,-0.1,QSO,81
2.05,1.2,GALAXY,176
0.3,0.2,GALAXY,194
0.45,0.5,QSO,58
0.05,-0.2,QSO,63
2.2,0.75,GALAXY,24
1.65,1.5,GALAXY,40
1.35,0.4,GALAXY,26
1.9,1.15,STAR,21
0.55,-0.05,GALAXY,25
0.75,0.1,QSO,30
0.4,0.0,GALAXY,39
-0.25,-0.15,STAR,47
1.3,1.2,STAR,37
0.65,0.2,QSO,69
0.55,0.45,QSO,78
2.9,1.15,GALAXY,22
0.75,0.05,QSO,22
0.6,0.5,GALAXY,119
0.8,0.4,STAR,124
0.1,-0.25,QSO,44
2.6,1.3,GALAXY,24
2.85,1.1,GALAXY,21
0.25,0.9,GALAXY,29
1.45,1.2,STAR,107
1.2,1.1,STAR,24
0.95,0.55,QSO,35
1.0,0.7,GALAXY,100
0.35,0.05,GALAXY,43
0.05,-0.2,STAR,26
0.35,1.05,GALAXY,33
0.1,0.05,GALAXY,24
1.45,1.55,GALAXY,22
0.7,0.4,QSO,56
0.9,0.45,STAR,67
1.6,1.4,STAR,37
0.05,0.4,GALAXY,24
0.85,0.3,GALAXY,130
0.65,0.95,GALAXY,61
-0.25,0.25,QSO,28
2.05,1.4,GALAXY,60
2.3,1.4,GALAXY,21
0.75,1.15,GALAXY,30
0.9,0.35,QSO,24
0.8,0.15,STAR,42
1.75,1.1,STAR,25
0.1,-0.1,GALAXY,25
0.55,-0.2,QSO,25
1.55,1.5,STAR,39
1.6,1.85,STAR,25
2.15,0.8,GALAXY,27
0.7,0.55,QSO,21
0.75,1.2,GALAXY,25
0.4,-0.05,GALAXY,26
0.7,0.0,QSO,32
0.9,0.4,QSO,33
2.4,1.4,GALAXY,25
0.25,0.95,GALAXY,21
1.55,1.8,STAR,21
1.95,0.9,GALAXY,325
0.7,0.2,STAR,298
1.35,0.6,GALAXY,294
1.0,0.75,GALAXY,125
1.65,0.6,GALAXY,947
0.65,0.65,QSO,27
0.0,0.55,QSO,42
1.75,0.8,GALAXY,882
1.3,0.85,GALAXY,300
1.85,0.8,GALAXY,550
1.65,1.15,GALAXY,463
0.3,0.05,QSO,698
1.4,1.1,GALAXY,304
-0.2,0.3,QSO,50
0.3,0.15,STAR,1622
1.25,0.45,GALAXY,445
1.5,0.75,GALAXY,284
2.25,1.15,GALAXY,105
0.25,0.25,STAR,144
1.55,1.05,GALAXY,600
0.4,0.15,STAR,1711
1.1,0.6,GALAXY,129
1.35,0.85,GALAXY,321
1.8,1.0,GALAXY,691
1.15,0.45,GALAXY,1048
1.45,0.6,GALAXY,526
0.6,0.2,QSO,85
0.5,0.15,STAR,1005
0.35,0.9,GALAXY,47
0.9,0.45,GALAXY,2166
0.3,0.05,STAR,805
0.05,-0.1,QSO,251
0.2,0.25,QSO,559
0.4,0.2,QSO,300
1.65,0.8,GALAXY,802
1.05,0.5,GALAXY,1205
2.05,0.85,GALAXY,148
0.5,-0.2,QSO,33
