generacion,mejor,media
163,7331.4847677072075,7167.176614669186
164,7331.4847677072075,7178.127085414813
165,7331.4847677072075,7174.790261085171
166,7331.4847677072075,7165.232734160442
167,7331.4847677072075,7163.45540750009
168,7331.4847677072075,7175.477376387399
169,7331.4847677072075,7171.009282659373
170,7331.4847677072075,7178.947983111392
171,7331.4847677072075,7182.184189834546
172,7331.4847677072075,7171.771215197502
173,7331.4847677072075,7180.3596818623455
174,7331.4847677072075,7172.465330934953
175,7331.4847677072075,7174.241157766796
176,7331.4847677072075,7181.181523656838
177,7331.4847677072075,7170.711466915977
178,7331.4847677072075,7179.0556615799005
179,7331.4847677072075,7177.641521543029
180,7331.4847677072075,7174.64665600247
181,7331.4847677072075,7156.89563035197
182,7331.4847677072075,7159.460827137802
183,7331.4847677072075,7158.080495436685
184,7331.4847677072075,7164.857675857123
185,7331.4847677072075,7163.340533780332
186,7331.4847677072075,7173.363576446139
187,7331.4847677072075,7166.510329256756
188,7331.4847677072075,7176.275547684965
189,7331.4847677072075,7176.357710449824
190,7331.4847677072075,7169.627424192294
191,7331.4847677072075,7172.724049169193
192,7331.4847677072075,7169.234332058375
193,7331.4847677072075,7182.783814681922
194,7331.4847677072075,7166.105721163926
195,7331.4847677072075,7164.0941270767125
196,7331.4847677072075,7175.11343471913
197,7331.4847677072075,7179.9559155719435
198,7331.4847677072075,7179.832546495626
199,7331.4847677072075,7173.083145920373
200,7331.4847677072075,7172.501557920522
201,7331.4847677072075,7168.681277170966
202,7331.4847677072075,7181.208318107426
203,7331.4847677072075,7180.328870457583
204,7331.4847677072075,7176.912483797339
205,7331.4847677072075,7170.858956619487
206,7331.4847677072075,7174.303813909339
207,7331.4847677072075,7172.790060539855
208,7331.4847677072075,7169.351943579728
209,7331.4847677072075,7176.25812312874
210,7331.4847677072075,7169.291060264404
211,7331.4847677072075,7185.3125340742545
212,7331.4847677072075,7182.257609427723
213,7331.4847677072075,7180.849122978834
214,7331.4847677072075,7183.177589805783
215,7331.4847677072075,7177.8547360971825
216,7331.4847677072075,7177.242485321015
217,7331.4847677072075,7173.459571831044
218,7331.4847677072075,7166.732812484323
219,7331.4847677072075,7167.076449701616
220,7331.4847677072075,7166.827636488342
221,7331.4847677072075,7185.971434488464
222,7331.4847677072075,7169.788008726725
223,7331.4847677072075,7176.196596769607
224,7331.4847677072075,7175.399578625465
225,7331.4847677072075,7167.08637226791
226,7331.4847677072075,7176.054781044584
227,7331.4847677072075,7172.140885808814
228,7331.4847677072075,7178.925420888126
229,7331.4847677072075,7177.287736023562
230,7331.4847677072075,7177.438236191103
231,7331.4847677072075,7168.4413068210815
232,7331.4847677072075,7174.27242492082
233,7331.4847677072075,7167.891132280377
234,7331.4847677072075,7173.105994590339
235,7331.4847677072075,7189.005550155507
236,7331.4847677072075,7177.741738461666
237,7331.4847677072075,7174.539921834189
238,7331.4847677072075,7175.0694903291505
239,7331.4847677072075,7168.4220993563895
240,7331.4847677072075,7183.350068582182
241,7331.4847677072075,7182.602826561076
242,7331.4847677072075,7180.073703683011
243,7331.4847677072075,7177.596869849258
244,7331.4847677072075,7182.104526001545
245,7331.4847677072075,7180.202849103076
246,7331.4847677072075,7175.943384466166
247,7331.4847677072075,7175.187228027965
248,7331.4847677072075,7182.574927931527
249,7331.4847677072075,7185.794176931344
250,7331.4847677072075,7178.015178810951
251,7331.4847677072075,7177.659568209462
252,7331.4847677072075,7180.69486966066
253,7331.4847677072075,7174.442135456347
254,7331.4847677072075,7170.895979032616
255,7331.4847677072075,7171.2952768086425
256,7331.4847677072075,7165.7450280487
257,7331.4847677072075,7166.164034415511
258,7331.4847677072075,7165.449633577261
259,7331.4847677072075,7174.264135689866
260,7331.4847677072075,7177.023570847581
261,7331.4847677072075,7166.327023103015
262,7331.4847677072075,7165.367545765248
263,7331.4847677072075,7157.325737790068
264,7331.4847677072075,7171.310136832897
265,7331.4847677072075,7168.1718781277195
266,7331.4847677072075,7178.388059074517
267,7331.4847677072075,7170.3520327773085
268,7331.4847677072075,7170.772977401049
269,7331.4847677072075,7174.309620714016
270,7331.4847677072075,7178.302604925313
271,7331.4847677072075,7177.34674074616
272,7331.4847677072075,7187.910839220419
273,7331.4847677072075,7179.733090386421
274,7331.4847677072075,7174.754091425163
275,7331.4847677072075,7173.079940363174
276,7331.4847677072075,7178.9408366645
277,7331.4847677072075,7183.345347647941
278,7331.4847677072075,7179.837558211726
279,7331.4847677072075,7171.943645954688
280,7331.4847677072075,7184.816091036382
281,7331.4847677072075,7170.623312058589
282,7331.4847677072075,7179.314583981857
283,7331.4847677072075,7180.044306062318
284,7331.4847677072075,7174.108956415427
285,7331.4847677072075,7170.2387676089265
286,7331.4847677072075,7164.293086943096
287,7331.4847677072075,7171.462583847238
288,7331.4847677072075,7180.438786025005
289,7331.4847677072075,7177.066380369472
290,7331.4847677072075,7174.0455929838145
291,7331.4847677072075,7176.870189147661
292,7331.4847677072075,7175.031542309265
293,7331.4847677072075,7184.4846630916745
294,7331.4847677072075,7159.992902400345
295,7331.4847677072075,7158.3474020934245
296,7331.4847677072075,7179.395600503981
297,7331.4847677072075,7176.0207977840255
298,7331.4847677072075,7179.593158376132
299,7331.4847677072075,7187.195457219945
300,7331.4847677072075,7183.867107594021
301,7331.4847677072075,7173.376844886383
302,7331.4847677072075,7157.983170589632
303,7331.4847677072075,7167.956517238013
304,7331.4847677072075,7163.303850040822
305,7331.4847677072075,7168.893040094807
306,7331.4847677072075,7174.218471567318
307,7331.4847677072075,7176.789350587223
308,7331.4847677072075,7172.6482426571865
309,7331.4847677072075,7152.453941985365
310,7331.4847677072075,7162.896685051999
311,7331.4847677072075,7168.599893957551
312,7331.4847677072075,7174.23875613644
313,7331.4847677072075,7171.189216982666
314,7331.4847677072075,7174.482263945369
315,7331.4847677072075,7183.954805084451
316,7331.4847677072075,7173.886300671338
317,7331.4847677072075,7175.152682442242
318,7331.4847677072075,7167.912795558943
319,7331.4847677072075,7167.443667217686
320,7331.4847677072075,7178.138428111146
321,7331.4847677072075,7177.039656190833
322,7331.4847677072075,7176.077392430422
323,7331.4847677072075,7176.134922289502
324,7331.4847677072075,7173.843493545142
325,7331.4847677072075,7168.078802411673
326,7331.4847677072075,7172.334250757838
327,7331.4847677072075,7169.4236719624905
328,7331.4847677072075,7173.569184923291
329,7331.4847677072075,7171.2217488199485
330,7331.4847677072075,7173.832046641812
331,7331.4847677072075,7170.397602360984
332,7331.4847677072075,7181.227658989551
333,7331.4847677072075,7166.986326566145
334,7331.4847677072075,7182.399896900973
335,7331.4847677072075,7178.487294099303
336,7331.4847677072075,7172.123158103021
337,7331.4847677072075,7166.625651339188
338,7331.4847677072075,7180.895627274478
339,7331.4847677072075,7167.781778819298
340,7331.4847677072075,7173.213216302707
341,7331.4847677072075,7171.821419927362
342,7331.4847677072075,7164.828191890377
343,7331.4847677072075,7169.881177434192
344,7331.4847677072075,7174.361253372685
345,7331.4847677072075,7169.300978139616
346,7331.4847677072075,7172.923162234241
347,7331.4847677072075,7174.289938637069
348,7331.4847677072075,7172.362691811347
349,7331.4847677072075,7165.008968902842
350,7331.4847677072075,7174.882291434766
351,7331.4847677072075,7162.257340404724
352,7331.4847677072075,7157.040461434675
353,7331.4847677072075,7171.831143241583
354,7331.4847677072075,7162.70083634975
355,7331.4847677072075,7158.521012988001
356,7331.4847677072075,7170.907526125028
357,7331.4847677072075,7154.579882800288
358,7331.4847677072075,7169.745872140485
359,7331.4847677072075,7171.566700909827
360,7331.4847677072075,7175.41445747338
361,7331.4847677072075,7169.413399520838
362,7331.4847677072075,7153.502903731456
363,7331.4847677072075,7162.693441424782
364,7331.4847677072075,7168.834005814435
365,7331.4847677072075,7164.850757741418
366,7331.4847677072075,7174.013629181411
367,7331.4847677072075,7165.233905168872
368,7331.4847677072075,7163.626586968808
369,7331.4847677072075,7180.831513991429
370,7331.4847677072075,7174.168324728988
371,7331.4847677072075,7180.320063762943
372,7331.4847677072075,7181.117880222791
373,7331.4847677072075,7184.664549470875
374,7331.4847677072075,7180.473029499442
375,7331.4847677072075,7179.139975427899
376,7331.4847677072075,7182.141562568315
377,7331.4847677072075,7182.979136114847
378,7331.4847677072075,7184.209293588469
379,7331.4847677072075,7173.041188856952
380,7331.4847677072075,7184.424815155869
381,7331.4847677072075,7179.6689849108625
382,7331.4847677072075,7176.82918190734
383,7331.4847677072075,7173.707104677146
384,7331.4847677072075,7177.12212611381
385,7331.4847677072075,7174.591124728185
386,7331.4847677072075,7168.730719437628
387,7331.4847677072075,7171.957330841969
388,7331.4847677072075,7176.026771979033
389,7331.4847677072075,7177.78067126895
390,7331.4847677072075,7181.211813118349
391,7331.4847677072075,7173.125039860909
392,7331.4847677072075,7174.112389919555
393,7331.4847677072075,7183.600037830886
394,7331.4847677072075,7164.340331642989
395,7331.4847677072075,7166.319770254278
396,7331.4847677072075,7172.805755683017
397,7331.4847677072075,7171.73819978609
398,7331.4847677072075,7178.8256086246365
399,7331.4847677072075,7176.5221871696485
